Domain,Objective,Sub Section,Sub Section Objective,Program,Score,Statement
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Policies and Procedures,To assess the existence and use of financial policies and procedures and their ability to respond to management needs and donor requirements.,RSSH,4,"The organization has
_	Complete and appropriate financial policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Policies and Procedures,To assess the existence and use of financial policies and procedures and their ability to respond to management needs and donor requirements.,NTLP,4,"The organization has
_	Complete and appropriate financial policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Policies and Procedures,To assess the existence and use of financial policies and procedures and their ability to respond to management needs and donor requirements.,NMCP,4,"The organization has
_	Complete and appropriate financial policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Policies and Procedures,To assess the existence and use of financial policies and procedures and their ability to respond to management needs and donor requirements.,NACP,4,"The organization has
_	Complete and appropriate financial policies and procedures
_	Policies and procedures that are known and understood by staff
_	Policies and procedures that are consistently adhered to, reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Internal Controls,"To assess if internal controls adequately safeguard the organization__ assets, manage internal risk and ensure the accuracy and reliability of accounting data.",RSSH,4,"The organization has
_	Complete and appropriately documented financial controls
_	Procedures known and understood by trained staff
_	Internal controls that are consistently adhered to, reviewed and updated
_	A process for assessing financial risk"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Internal Controls,"To assess if internal controls adequately safeguard the organization__ assets, manage internal risk and ensure the accuracy and reliability of accounting data.",NTLP,4,"The organization has
_	Complete and appropriately documented financial controls
_	Procedures known and understood by trained staff
_	Internal controls that are consistently adhered to, reviewed and updated
_	A process for assessing financial risk"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Internal Controls,"To assess if internal controls adequately safeguard the organization__ assets, manage internal risk and ensure the accuracy and reliability of accounting data.",NMCP,4,"The organization has
_	Complete and appropriately documented financial controls
_	Procedures known and understood by trained staff
_	Internal controls that are consistently adhered to, reviewed and updated
_	A process for assessing financial risk"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Internal Controls,"To assess if internal controls adequately safeguard the organization__ assets, manage internal risk and ensure the accuracy and reliability of accounting data.",NACP,4,"The organization has
_	Complete and appropriately documented financial controls
_	Procedures known and understood by trained staff
_	Internal controls that are consistently adhered to, reviewed and updated
_	A process for assessing financial risk"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Documentation,To assess if record keeping is adequate and if financial files are audit ready.,RSSH,4,"The organization has
_	Complete and appropriate financial documentation procedures
_	Procedures that are known and understood by staff
_	Procedures that are consistently adhered to, reviewed and updated
_	Up-to-date financial files in a secure location
_	A staff member designated to manage the financial files"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Documentation,To assess if record keeping is adequate and if financial files are audit ready.,NTLP,4,"The organization has
_	Complete and appropriate financial documentation procedures
_	Procedures that are known and understood by staff
_	Procedures that are consistently adhered to, reviewed and updated
_	Up-to-date financial files in a secure location
_	A staff member designated to manage the financial files"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Documentation,To assess if record keeping is adequate and if financial files are audit ready.,NMCP,4,"The organization has
_	Complete and appropriate financial documentation procedures
_	Procedures that are known and understood by staff
_	Procedures that are consistently adhered to, reviewed and updated
_	Up-to-date financial files in a secure location
_	A staff member designated to manage the financial files"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Documentation,To assess if record keeping is adequate and if financial files are audit ready.,NACP,4,"The organization has
_	Complete and appropriate financial documentation procedures
_	Procedures that are known and understood by staff
_	Procedures that are consistently adhered to, reviewed and updated
_	Up-to-date financial files in a secure location
_	A staff member designated to manage the financial files"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Budgeting,To assess the organization__ financial planning and if there is a system for monitoring budgets and determining additional funding requirements.,RSSH,4,"The organization has
_	A complete and appropriate master budget
_	A core-cost budget that is aligned with the strategic plan and regularly reviewed; any shortfalls are addressed
_	Clear project budgets that are reviewed regularly by senior management and adapted to align with project needs and donor requirements
_	A consistent methodology for including core costs in project budgets that is documented and ensures full cost recovery"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Budgeting,To assess the organization__ financial planning and if there is a system for monitoring budgets and determining additional funding requirements.,NTLP,4,"The organization has
_	A complete and appropriate master budget
_	A core-cost budget that is aligned with the strategic plan and regularly reviewed; any shortfalls are addressed
_	Clear project budgets that are reviewed regularly by senior management and adapted to align with project needs and donor requirements
_	A consistent methodology for including core costs in project budgets that is documented and ensures full cost recovery"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Budgeting,To assess the organization__ financial planning and if there is a system for monitoring budgets and determining additional funding requirements.,NMCP,4,"The organization has
_	A complete and appropriate master budget
_	A core-cost budget that is aligned with the strategic plan and regularly reviewed; any shortfalls are addressed
_	Clear project budgets that are reviewed regularly by senior management and adapted to align with project needs and donor requirements
_	A consistent methodology for including core costs in project budgets that is documented and ensures full cost recovery"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Budgeting,To assess the organization__ financial planning and if there is a system for monitoring budgets and determining additional funding requirements.,NACP,4,"The organization has
_	A complete and appropriate master budget
_	A core-cost budget that is aligned with the strategic plan and regularly reviewed; any shortfalls are addressed
_	Clear project budgets that are reviewed regularly by senior management and adapted to align with project needs and donor requirements
_	A consistent methodology for including core costs in project budgets that is documented and ensures full cost recovery"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Reporting,To assess whether the organization__ routine financial reporting system allows it to meet statutory and donor requirements and stakeholders_ needs for information.,RSSH,3,"The organization has
_	A good financial reporting system; reporting requirements and deadlines are generally adhered to
_	Regularly delivered financial reports to stakeholders (donors, budget holders, senior management, board members), but they are not always accurate and/or complete
_	Sporadic reviews of financial reports by senior staff
_	Some documented financial reporting procedures"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Reporting,To assess whether the organization__ routine financial reporting system allows it to meet statutory and donor requirements and stakeholders_ needs for information.,NTLP,4,"The organization has
_	A complete and appropriate financial reporting system; reporting requirements and deadlines are consistently adhered to
_	Regularly delivered accurate and complete financial reports to stakeholders (donors, budget holders, senior management, board members)
_	A system for senior staff to review financial reports at least every three months and to use the reports to make decisions
_	Complete and appropriately documented financial reporting procedures regularly reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Reporting,To assess whether the organization__ routine financial reporting system allows it to meet statutory and donor requirements and stakeholders_ needs for information.,NMCP,4,"The organization has
_	A complete and appropriate financial reporting system; reporting requirements and deadlines are consistently adhered to
_	Regularly delivered accurate and complete financial reports to stakeholders (donors, budget holders, senior management, board members)
_	A system for senior staff to review financial reports at least every three months and to use the reports to make decisions
_	Complete and appropriately documented financial reporting procedures regularly reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Reporting,To assess whether the organization__ routine financial reporting system allows it to meet statutory and donor requirements and stakeholders_ needs for information.,NACP,4,"The organization has
_	A complete and appropriate financial reporting system; reporting requirements and deadlines are consistently adhered to
_	Regularly delivered accurate and complete financial reports to stakeholders (donors, budget holders, senior management, board members)
_	A system for senior staff to review financial reports at least every three months and to use the reports to make decisions
_	Complete and appropriately documented financial reporting procedures regularly reviewed and updated"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,RSSH,3,"The organization has
_	A good system for managing audits; audit findings and recommendations are generally addressed
_	Consistently complied with its statutory and donor audit requirements in a timely manner
_	No internal audit function that regularly assesses risk or reviews and updates financial management systems to reflect the changing environment
_	Not shared audit reports with board members and other stakeholders"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,NTLP,4,"The organization has
_	A complete and appropriate system for managing audits; audit findings and recommendations are systematically addressed
_	A written narrative of its audit systems in the finance manual
_	Consistently complied with its statutory and donor audit requirements in a timely manner
_	An internal audit function that assesses risk and updates financial management systems as needed
_	Consistently shared audit reports with board members and other stakeholders"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,NMCP,4,"The organization has
_	A complete and appropriate system for managing audits; audit findings and recommendations are systematically addressed
_	A written narrative of its audit systems in the finance manual
_	Consistently complied with its statutory and donor audit requirements in a timely manner
_	An internal audit function that assesses risk and updates financial management systems as needed
_	Consistently shared audit reports with board members and other stakeholders"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Audits,To assess whether the organization undergoes routine audits that meet statutory and donor requirements and has a system for addressing audit findings.,NACP,4,"The organization has
_	A complete and appropriate system for managing audits; audit findings and recommendations are systematically addressed
_	A written narrative of its audit systems in the finance manual
_	Consistently complied with its statutory and donor audit requirements in a timely manner
_	An internal audit function that assesses risk and updates financial management systems as needed
_	Consistently shared audit reports with board members and other stakeholders"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Cost Share,"To assess whether the organization has systems to track, report, and document cost share in compliance with donor regulations.",RSSH,4,"The organization has
_	Complete and appropriately documented cost-share procedures
_	Procedures known and understood by staff
_	Procedures consistently adhered to, reviewed and updated
_	A consistent accounting system for entering and reporting on cost share
_	A cost-share plan"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Cost Share,"To assess whether the organization has systems to track, report, and document cost share in compliance with donor regulations.",NACP,4,"The organization has
_	Complete and appropriately documented cost-share procedures
_	Procedures known and understood by staff
_	Procedures consistently adhered to, reviewed and updated
_	A consistent accounting system for entering and reporting on cost share
_	A cost-share plan"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Sustainability,"To assess the organization__ finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.",RSSH,1,"The organization has
_	Full dependence on one external donor
_	No unrestricted funds
_	Not enough liquidity to pay all outstanding financial obligations
_	No documented finance strategy"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Sustainability,"To assess the organization__ finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.",NTLP,2,"The organization has
_	Almost full dependence on external donor funds (more than one donor)
_	Limited unrestricted funds
_	Not enough liquidity to pay all outstanding financial obligations
_	A finance strategy that is not fully documented"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Sustainability,"To assess the organization__ finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.",NMCP,3,"The organization has
_	A somewhat diversified funding base, but is too reliant on restricted income
_	Limited reserves to operate without donor grants
_	Enough liquidity to pay all outstanding financial obligations
_	A documented finance strategy that is not fully in line with the strategic plan and is not reviewed regularly"
Financial Management,"To assess the quality of the organization__ financial system and policies and procedures and the staff__ knowledge of the system.						",Financial Sustainability,"To assess the organization__ finance strategy and its ability to secure a diversified revenue base, to generate reserves and to sustain its operations without donor funds.",NACP,2,"The organization has
_	Almost full dependence on external donor funds (more than one donor)
_	Limited unrestricted funds
_	Not enough liquidity to pay all outstanding financial obligations
_	A finance strategy that is not fully documented"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Strategic Planning,To assess the organization__ ability to realize its mission and goals by reviewing its strategic plan.,RSSH,4,"The organization has
_	A comprehensive, written strategic plan that reflects its mission, vision and values
_	Based the plan on a review of strengths and weaknesses, the external environment and clients_ needs
_	Included priorities and measurable objectives
_	Referred to the plan for management decisions and operational planning
_	Regularly reviewed the plan
_	Clear resource needs and a corresponding budget"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Strategic Planning,To assess the organization__ ability to realize its mission and goals by reviewing its strategic plan.,NTLP,4,"The organization has
_	A comprehensive, written strategic plan that reflects its mission, vision and values
_	Based the plan on a review of strengths and weaknesses, the external environment and clients_ needs
_	Included priorities and measurable objectives
_	Referred to the plan for management decisions and operational planning
_	Regularly reviewed the plan
_	Clear resource needs and a corresponding budget"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Strategic Planning,To assess the organization__ ability to realize its mission and goals by reviewing its strategic plan.,NMCP,4,"The organization has
_	A comprehensive, written strategic plan that reflects its mission, vision and values
_	Based the plan on a review of strengths and weaknesses, the external environment and clients_ needs
_	Included priorities and measurable objectives
_	Referred to the plan for management decisions and operational planning
_	Regularly reviewed the plan
_	Clear resource needs and a corresponding budget"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Strategic Planning,To assess the organization__ ability to realize its mission and goals by reviewing its strategic plan.,NACP,3,"The organization has
_	A comprehensive, written strategic plan that reflects its mission, vision and values
_	Based the plan on a review of strengths and weaknesses, the external environment and clients_ needs
_	Included priorities, measurable objectives and clear strategies
_	Not used the plan for management decisions or operational planning
_	No process for regular reviews
_	Not defined resource needs or does not have a corresponding budget"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Resource Mobilization,To assess the organization__ ability to identify and capitalize on new business opportunities through grants and partnerships.,RSSH,2,"The organization has
_	A business plan and has taken preliminary steps to estimate future resource needs based on an analysis of its programs and/or its strategic plan
_	Identified additional resource providers or opportunities and their interests and potential for support
_	Not created a communication strategy to attract resources"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Resource Mobilization,To assess the organization__ ability to identify and capitalize on new business opportunities through grants and partnerships.,NTLP,2,"The organization has
_	A business plan and has taken preliminary steps to estimate future resource needs based on an analysis of its programs and/or its strategic plan
_	Identified additional resource providers or opportunities and their interests and potential for support
_	Not created a communication strategy to attract resources"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Resource Mobilization,To assess the organization__ ability to identify and capitalize on new business opportunities through grants and partnerships.,NMCP,3,"The organization has
_	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
_	Identified resource providers
_	Created a communication strategy for resource mobilization
_	Received support from at least one source or has a clear plan for fundraising or proposal writing
_	Insufficient funds to support its activities"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Resource Mobilization,To assess the organization__ ability to identify and capitalize on new business opportunities through grants and partnerships.,NACP,3,"The organization has
_	A business plan based on an analysis of its programs and resource needs and the activities in its strategic plan
_	Identified resource providers
_	Created a communication strategy for resource mobilization
_	Received support from at least one source or has a clear plan for fundraising or proposal writing
_	Insufficient funds to support its activities"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",RSSH,4,"The organization has
_	An annual operational plan
_	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
_	Linked the plan to program/project workplans and budget
_	Developed the plan with staff participation
_	Set dates for quarterly reviews
_	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",NTLP,4,"The organization has
_	An annual operational plan
_	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
_	Linked the plan to program/project workplans and budget
_	Developed the plan with staff participation
_	Set dates for quarterly reviews
_	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",NMCP,4,"The organization has
_	An annual operational plan
_	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
_	Linked the plan to program/project workplans and budget
_	Developed the plan with staff participation
_	Set dates for quarterly reviews
_	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Operational Plan Development,"To assess the contents, approval and reviews of the annual operational plan.",NACP,4,"The organization has
_	An annual operational plan
_	Included goals, measurable objectives, strategies, timelines, responsibilities and indicators
_	Linked the plan to program/project workplans and budget
_	Developed the plan with staff participation
_	Set dates for quarterly reviews
_	Submitted the plan on time to HQ or donors (if required)"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization__ communication strategy.",RSSH,1,"The organization has
_	No strategy for identifying audiences, channels, materials, and dissemination for promotion of technical/best practice innovation and overall achievements
_	No one assigned responsibility for developing/overseeing communication strategy and products (written, oral and/or online)
_	No process/tools for testing the materials/messages
_	No branding/marking policies or procedures for documents or equipment"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization__ communication strategy.",NTLP,4,"The organization has
_	A comprehensive communication strategy
_	Tasked staff member(s) with communication strategy management, including documentation development and oversight
_	A process for testing and revising materials/messages based on test results
_	Developed its own branding policy (including appropriate USAID branding/marking requirements), oriented staff, and instituted a system to monitor compliance
_	Created templates and a style guide and trained staff on their use"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization__ communication strategy.",NMCP,3,"The organization has
_	A complete communication strategy,
_	Tasked staff member(s) with communication strategy management including documentation oversight
_	A process for testing materials/messages and revising based on test results
_	Developed its own branding policy (including appropriate USAID branding/marking requirements) and oriented staff, but it is inconsistently adhered to
_	Created templates for documents and a style guide"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Communication Strategy,"To assess the comprehensive, completeness and effectiveness of the organization__ communication strategy.",NACP,3,"The organization has
_	A complete communication strategy,
_	Tasked staff member(s) with communication strategy management including documentation oversight
_	A process for testing materials/messages and revising based on test results
_	Developed its own branding policy (including appropriate USAID branding/marking requirements) and oriented staff, but it is inconsistently adhered to
_	Created templates for documents and a style guide"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Change Management,"To assess the organization__ sustainability and relevance by reviewing its systems and processes for responding to internal or external emerging situations, reviewing programs and analyzing needs.",RSSH,2,"The organization has
_	Basic processes for reviewing internal changes, such as policy reviews or the funding environment
_	No process for planning for or responding to external changes, such as regular reviews of the operational plan and budget monitoring
_	Inconsistently involved staff in reviewing the effectiveness of new/revised management systems and policies
_	Significant delays or problems encountered in response to change"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Change Management,"To assess the organization__ sustainability and relevance by reviewing its systems and processes for responding to internal or external emerging situations, reviewing programs and analyzing needs.",NTLP,2,"The organization has
_	Basic processes for reviewing internal changes, such as policy reviews or the funding environment
_	No process for planning for or responding to external changes, such as regular reviews of the operational plan and budget monitoring
_	Inconsistently involved staff in reviewing the effectiveness of new/revised management systems and policies
_	Significant delays or problems encountered in response to change"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Change Management,"To assess the organization__ sustainability and relevance by reviewing its systems and processes for responding to internal or external emerging situations, reviewing programs and analyzing needs.",NMCP,3,"The organization has
_	Established processes for reviewing internal change
_	Processes for planning for and responding to external change
_	Consistently involved staff in reviewing the effectiveness of new/revised management systems and policies, processes, programs
_	Few delays or major problems encountered in response to change"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Change Management,"To assess the organization__ sustainability and relevance by reviewing its systems and processes for responding to internal or external emerging situations, reviewing programs and analyzing needs.",NACP,2,"The organization has
_	Basic processes for reviewing internal changes, such as policy reviews or the funding environment
_	No process for planning for or responding to external changes, such as regular reviews of the operational plan and budget monitoring
_	Inconsistently involved staff in reviewing the effectiveness of new/revised management systems and policies
_	Significant delays or problems encountered in response to change"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Knowledge Management,"To assess the organization__ ability to link with other organizations (government, national, international, community, technical, academic) and its system for sharing knowledge, experiences, technical expertise and best practices with staff.",RSSH,3,"The organization has
_	Essential and appropriate links with other organizations to share best practices or program experiences
_	A process for routine staff sharing of best practices and lessons learned
_	Not applied new knowledge or best practices to ongoing programs or shared them with stakeholders
_	Has no process for reviewing/integrating new/current knowledge and best practices in annual planning"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Knowledge Management,"To assess the organization__ ability to link with other organizations (government, national, international, community, technical, academic) and its system for sharing knowledge, experiences, technical expertise and best practices with staff.",NTLP,3,"The organization has
_	Essential and appropriate links with other organizations to share best practices or program experiences
_	A process for routine staff sharing of best practices and lessons learned
_	Not applied new knowledge or best practices to ongoing programs or shared them with stakeholders
_	Has no process for reviewing/integrating new/current knowledge and best practices in annual planning"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Knowledge Management,"To assess the organization__ ability to link with other organizations (government, national, international, community, technical, academic) and its system for sharing knowledge, experiences, technical expertise and best practices with staff.",NMCP,4,"The organization has
_	Active links with appropriate organizations to share best practices or program experiences
_	A process for routinely sharing technical expertise and experiences with staff and stakeholders
_	Applied best practices to its program and shares information with stakeholders and appropriate staff
_	Annual planning that includes reviews and integration of new/current knowledge and best practices"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Knowledge Management,"To assess the organization__ ability to link with other organizations (government, national, international, community, technical, academic) and its system for sharing knowledge, experiences, technical expertise and best practices with staff.",NACP,3,"The organization has
_	Essential and appropriate links with other organizations to share best practices or program experiences
_	A process for routine staff sharing of best practices and lessons learned
_	Not applied new knowledge or best practices to ongoing programs or shared them with stakeholders
_	Has no process for reviewing/integrating new/current knowledge and best practices in annual planning"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Stakeholder Involvement,To assess the organization__ ability to coordinate programs and to involve stakeholders.,RSSH,4,"The organization has
_	Complete and up-to-date information about all stakeholders working in the  same geographic and technical areas and, if appropriate, collaborative agreements  with them
_	Regular (at least annually) meetings with stakeholders to review relevant activities and their impact on the organization__ area of operations"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Stakeholder Involvement,To assess the organization__ ability to coordinate programs and to involve stakeholders.,NTLP,4,"The organization has
_	Complete and up-to-date information about all stakeholders working in the  same geographic and technical areas and, if appropriate, collaborative agreements  with them
_	Regular (at least annually) meetings with stakeholders to review relevant activities and their impact on the organization__ area of operations"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Stakeholder Involvement,To assess the organization__ ability to coordinate programs and to involve stakeholders.,NMCP,4,"The organization has
_	Complete and up-to-date information about all stakeholders working in the  same geographic and technical areas and, if appropriate, collaborative agreements  with them
_	Regular (at least annually) meetings with stakeholders to review relevant activities and their impact on the organization__ area of operations"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Stakeholder Involvement,To assess the organization__ ability to coordinate programs and to involve stakeholders.,NACP,4,"The organization has
_	Complete and up-to-date information about all stakeholders working in the  same geographic and technical areas and, if appropriate, collaborative agreements  with them
_	Regular (at least annually) meetings with stakeholders to review relevant activities and their impact on the organization__ area of operations"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Internal Communication,To review the organization__ approach to internal communication.,RSSH,4,"The organization has
_	Open communication between and among management and staff
_	Regular opportunities for exchanging ideas or discussing management, program or technical issues
_	Consistently encouraged and incorporated staff ideas and input
_	Staff who feel comfortable initiating discussions, contributing ideas and raising issues"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Internal Communication,To review the organization__ approach to internal communication.,NTLP,4,"The organization has
_	Open communication between and among management and staff
_	Regular opportunities for exchanging ideas or discussing management, program or technical issues
_	Consistently encouraged and incorporated staff ideas and input
_	Staff who feel comfortable initiating discussions, contributing ideas and raising issues"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Internal Communication,To review the organization__ approach to internal communication.,NMCP,4,"The organization has
_	Open communication between and among management and staff
_	Regular opportunities for exchanging ideas or discussing management, program or technical issues
_	Consistently encouraged and incorporated staff ideas and input
_	Staff who feel comfortable initiating discussions, contributing ideas and raising issues"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Internal Communication,To review the organization__ approach to internal communication.,NACP,3,"The organization has
_	Open communication between and among management and staff
_	Regular opportunities for discussing management, program or technical areas
_	Encouraged staff ideas and input
_	Staff who are comfortable raising issues but find it more difficult to raise challenging ones"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Decision-Making,"To assess how the organization makes decisions, who is involved, and how decisions are communicated.",RSSH,3,"The organization has
_	Encouraged staff ideas but seldom incorporated them into decisions
_	Communicated and explained decisions to staff
_	Not fully included staff participation in making decisions"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Decision-Making,"To assess how the organization makes decisions, who is involved, and how decisions are communicated.",NTLP,4,"The organization has
_	Sought, respected and incorporated staff ideas into decision-making
_	Communicated and explained decisions to staff
_	Staff who feel a sense of responsibility, accountability and ownership of decision- making"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Decision-Making,"To assess how the organization makes decisions, who is involved, and how decisions are communicated.",NMCP,4,"The organization has
_	Sought, respected and incorporated staff ideas into decision-making
_	Communicated and explained decisions to staff
_	Staff who feel a sense of responsibility, accountability and ownership of decision- making"
Organizational Management,"To assess the organization__ planning, management of external relations and information and means of identifying and capitalizing on new opportunities						",Decision-Making,"To assess how the organization makes decisions, who is involved, and how decisions are communicated.",NACP,3,"The organization has
_	Encouraged staff ideas but seldom incorporated them into decisions
_	Communicated and explained decisions to staff
_	Not fully included staff participation in making decisions"
Program Management,"To assess the organization__ ability to implement comprehensive programs that respond to local needs and priorities by reviewing compliance with donor requirements, management of sub-grants with partners, technical reporting and whether its comprehensive health services meet the needs of specific target populations.						",Donor Compliance,To assess the organization__ capability to respond to USG OR OTHER donor requirements; thereby ensuring the effective implementation of its USG-funded programs.,RSSH,3,"The organization
_	Is knowledgeable of the terms of the cooperative agreement, A-122 Cost Principles and Standard Provisions
_	Has systems in place to ensure compliance with donor requirements
_	Does not comply consistently"
